# wavelength [micron], EQE [1]
1.362525050100200641e+00,6.804556045174431356e-02
1.366933867735471209e+00,6.755448381776535394e-02
1.371342685370741776e+00,6.705209367570659496e-02
1.375751503006012122e+00,6.654279014586106378e-02
1.380160320641282690e+00,6.602593194957437350e-02
1.384569138276553257e+00,6.550431637927067730e-02
1.388977955911823825e+00,6.497632689394709782e-02
1.393386773547094393e+00,6.444629364380466408e-02
1.397795591182364960e+00,6.391404479899946700e-02
1.402204408817635528e+00,6.339620161972833734e-02
1.406613226452906096e+00,6.289116784706479113e-02
1.411022044088176441e+00,6.238768129126341655e-02
1.415430861723447009e+00,6.188605016970625400e-02
1.419839679358717577e+00,6.138641459861897409e-02
1.424248496993988145e+00,6.089108185227257164e-02
1.428657314629258712e+00,6.039787157127021744e-02
1.433066132264529280e+00,5.991319980649596755e-02
1.437474949899799848e+00,5.943046561690342594e-02
1.441883767535070415e+00,5.895639183715532805e-02
1.446292585170340983e+00,5.848934187007546331e-02
1.450701402805611329e+00,5.803057952602029557e-02
1.455110220440881896e+00,5.757901526034299444e-02
1.459519038076152464e+00,5.713830492088818602e-02
1.463927855711423032e+00,5.670589344855325731e-02
1.468336673346693599e+00,5.628081814877496092e-02
1.472745490981964167e+00,5.586763001216923930e-02
1.477154308617234735e+00,5.546406887580643263e-02
1.481563126252505302e+00,5.507179982238132043e-02
1.485971943887775648e+00,5.469069485682501869e-02
1.490380761523046216e+00,5.432009928753234185e-02
1.494789579158316783e+00,5.395936578889019147e-02
1.499198396793587351e+00,5.361094436293477317e-02
1.503607214428857919e+00,5.326562561349730551e-02
1.508016032064128487e+00,5.293124643786349670e-02
1.512424849699399054e+00,5.260999536622197603e-02
1.516833667334669622e+00,5.230185456411982209e-02
1.521242484969940190e+00,5.200677580815050993e-02
1.525651302605210535e+00,5.172470998525280361e-02
1.530060120240481103e+00,5.145558164966828468e-02
1.534468937875751671e+00,5.119931203369848527e-02
1.538877755511022238e+00,5.095580870630177228e-02
1.543286573146292806e+00,5.072496847686927546e-02
1.547695390781563374e+00,5.050668431025859967e-02
1.552104208416833941e+00,5.030083501669869311e-02
1.556513026052104509e+00,5.010730662837289962e-02
1.560921843687374855e+00,4.992596540510167713e-02
1.565330661322645422e+00,4.975667662245709943e-02
1.569739478957915990e+00,4.959930341009721744e-02
1.574148296593186558e+00,4.945371140588175618e-02
1.578557114228457126e+00,4.931975298427307419e-02
1.582965931863727693e+00,4.919728869249916092e-02
1.587374749498998261e+00,4.908617613842441996e-02
1.591783567134268829e+00,4.898626733916800619e-02
1.596192384769539396e+00,4.889742164220171883e-02
1.600601202404809742e+00,4.881427604688751143e-02
1.605010020040080310e+00,4.870902291174714765e-02
1.609418837675350877e+00,4.861471229101854002e-02
1.613827655310621445e+00,4.853117995552125308e-02
1.618236472945892013e+00,4.845825038495420178e-02
1.622645290581162580e+00,4.839577006700673811e-02
1.627054108216433148e+00,4.834356852809050531e-02
1.631462925851703716e+00,4.830148331666101608e-02
1.635871743486974061e+00,4.826935931252201994e-02
1.640280561122244629e+00,4.824704703292602426e-02
1.644689378757515197e+00,4.823437947032531425e-02
1.649098196392785765e+00,4.823121394348445917e-02
1.653507014028056332e+00,4.823738660121655586e-02
1.657915831663326900e+00,4.825275810788298703e-02
1.662324649298597468e+00,4.827718385129881745e-02
1.666733466933868035e+00,4.831050577214634351e-02
1.671142284569138603e+00,4.835258768838798793e-02
1.675551102204408949e+00,4.840329670661742967e-02
1.679959919839679516e+00,4.846247461788612959e-02
1.684368737474950084e+00,4.852998952279236750e-02
1.688777555110220652e+00,4.860569811129648865e-02
1.693186372745491219e+00,4.868945465887195706e-02
1.697595190380761787e+00,4.878112524039006359e-02
1.702004008016032355e+00,4.887196111463844306e-02
1.706412825651302922e+00,4.896012459843671755e-02
1.710821643286573268e+00,4.905579561031104402e-02
1.715230460921843836e+00,4.915882933267321647e-02
1.719639278557114404e+00,4.926907501385681398e-02
1.724048096192384971e+00,4.938638334817747194e-02
1.728456913827655539e+00,4.951060631141662033e-02
1.732865731462926107e+00,4.964158804057997726e-02
1.737274549098196674e+00,4.977917737609259541e-02
1.741683366733467242e+00,4.992321190331128894e-02
1.746092184368737810e+00,5.007353942954387294e-02
1.750501002004008155e+00,5.022999378551103872e-02
1.754909819639278723e+00,5.039241410360607160e-02
1.759318637274549291e+00,5.056063155447475949e-02
1.763727454909819858e+00,5.073447463375594518e-02
1.768136272545090426e+00,5.091377101121846022e-02
1.772545090180360994e+00,5.109833803118657425e-02
1.776953907815631561e+00,5.128799679065949857e-02
1.781362725450902129e+00,5.148255323561019836e-02
1.785771543086172697e+00,5.168181878219291897e-02
1.790180360721443042e+00,5.188559251783502607e-02
1.794589178356713610e+00,5.209367060757230661e-02
1.798997995991984178e+00,5.230584512628609628e-02
1.803406813627254746e+00,5.252158159935548659e-02
1.807815631262525313e+00,5.274088363679838715e-02
1.812224448897795881e+00,5.296360918225279102e-02
1.816633266533066449e+00,5.318952556121150227e-02
1.821042084168337016e+00,5.341838897275069664e-02
1.825450901803607362e+00,5.364994896498543470e-02
1.829859719438877930e+00,5.388395126901369958e-02
1.834268537074148497e+00,5.412012601749981167e-02
1.838677354709419065e+00,5.435820661043085089e-02
1.843086172344689633e+00,5.459790909699324679e-02
1.847494989979960200e+00,5.483894798161566275e-02
1.851903807615230768e+00,5.508102822207806837e-02
1.856312625250501336e+00,5.532384244005557339e-02
1.860721442885771904e+00,5.556708383344755031e-02
1.865130260521042249e+00,5.581043057478930064e-02
1.869539078156312817e+00,5.605356045631429418e-02
1.873947895791583385e+00,5.629613870610735565e-02
1.878356713426853952e+00,5.653782373504066816e-02
1.882765531062124520e+00,5.677827102734779585e-02
1.887174348697395088e+00,5.701712146218790300e-02
1.891583166332665655e+00,5.725401896403053970e-02
1.895991983967936223e+00,5.748859473124904446e-02
1.900400801603206569e+00,5.772071016548975531e-02
1.904809619238477136e+00,5.795213343553662355e-02
1.909218436873747704e+00,5.818010909577712997e-02
1.913627254509018272e+00,5.840425501399036656e-02
1.918036072144288839e+00,5.862417915897298604e-02
1.922444889779559407e+00,5.883948905610233288e-02
1.926853707414829975e+00,5.904979190892453711e-02
1.931262525050100543e+00,5.925468814286168062e-02
1.935671342685371110e+00,5.945378506519732875e-02
1.940080160320641456e+00,5.964668495925294633e-02
1.944488977955912024e+00,5.983298777176379590e-02
1.948897795591182591e+00,6.001230842176184799e-02
1.953306613226453159e+00,6.018425505900899114e-02
1.957715430861723727e+00,6.034844577735251625e-02
1.962124248496994294e+00,6.050450033103920572e-02
1.966533066132264862e+00,6.065204535304047351e-02
1.970941883767535430e+00,6.079071711339781997e-02
1.975350701402805775e+00,6.092015698509106736e-02
1.979759519038076343e+00,6.104001961566188350e-02
1.984168336673346911e+00,6.114996740323121183e-02
1.988577154308617478e+00,6.124967296429070091e-02
1.992985971943888046e+00,6.133883084775772904e-02
1.997394789579158614e+00,6.141714320119998072e-02
2.001803607214429181e+00,6.148957372536963117e-02
2.006212424849699527e+00,6.155816599715503018e-02
2.010621242484970317e+00,6.161508005456187848e-02
2.015030060120240663e+00,6.166008029249344519e-02
2.019438877755511008e+00,6.169294831047834882e-02
2.023847695390781798e+00,6.171348583948003952e-02
2.028256513026052144e+00,6.172151405988303419e-02
2.032665330661322933e+00,6.171687659157638894e-02
2.037074148296593279e+00,6.169944158603322265e-02
2.041482965931864069e+00,6.166909739298145898e-02
2.045891783567134414e+00,6.162575480457870014e-02
2.050300601202404760e+00,6.156934887668397138e-02
2.054709418837675550e+00,6.149983758787361254e-02
2.059118236472945895e+00,6.141720286730877748e-02
2.063527054108216685e+00,6.132145074195710643e-02
2.067935871743487031e+00,6.121261073344557574e-02
2.072344689378757820e+00,6.109073572473467523e-02
2.076753507014028166e+00,6.095590376791364118e-02
2.081162324649298956e+00,6.080821527451842762e-02
2.085571142284569301e+00,6.064779334987531467e-02
2.089979959919839647e+00,6.047478329710771761e-02
2.094388777555110437e+00,6.028935214130236309e-02
2.098797595190380783e+00,6.009168796821590802e-02
2.103206412825651572e+00,5.984151275830924821e-02
2.107615230460921918e+00,5.956496124822260874e-02
2.112024048096192708e+00,5.927758113593364214e-02
2.116432865731463053e+00,5.897966392071328501e-02
2.120841683366733843e+00,5.867151190346169692e-02
2.125250501002004189e+00,5.835344344498348546e-02
2.129659318637274534e+00,5.802578987850647019e-02
2.134068136272545324e+00,5.768889442621082803e-02
2.138476953907815670e+00,5.734311089180033072e-02
2.142885771543086459e+00,5.698880245301952974e-02
2.147294589178356805e+00,5.662634061902510618e-02
2.151703406813627595e+00,5.625610369793591914e-02
2.156112224448897940e+00,5.587847728123560009e-02
2.160521042084168730e+00,5.549385344845013390e-02
2.164929859719439076e+00,5.510262003118730073e-02
2.169338677354709422e+00,5.470517148394638679e-02
2.173747494989980211e+00,5.430190340691322393e-02
2.178156312625250557e+00,5.389321088972703899e-02
2.182565130260521347e+00,5.347948879615249673e-02
2.186973947895791692e+00,5.306112974937278459e-02
2.191382765531062482e+00,5.263852267483139225e-02
2.195791583166332828e+00,5.221205398854654456e-02
2.200200400801603173e+00,5.178505204408818952e-02
2.204609218436873963e+00,5.141609941846826681e-02
2.209018036072144309e+00,5.104315542500920816e-02
2.213426853707415098e+00,5.066657875827824953e-02
2.217835671342685444e+00,5.028672209487593942e-02
2.222244488977956234e+00,4.990393302757745175e-02
2.226653306613226579e+00,4.951855096970417258e-02
2.231062124248497369e+00,4.913090794873096329e-02
2.235470941883767715e+00,4.874132921149129660e-02
2.239879759519038060e+00,4.835013019855562838e-02
2.244288577154308850e+00,4.795762583423972270e-02
2.248697394789579196e+00,4.756411038881042108e-02
2.253106212424849986e+00,4.716986941412534828e-02
2.257515030060120331e+00,4.677518245124875212e-02
2.261923847695391121e+00,4.638032008483854163e-02
2.266332665330661467e+00,4.598554120163006464e-02
2.270741482965932256e+00,4.559109608444819606e-02
2.275150300601202602e+00,4.519722555504311623e-02
2.279559118236472948e+00,4.480415838398756068e-02
2.283967935871743737e+00,4.441211750071219488e-02
2.288376753507014083e+00,4.402132012781385939e-02
2.292785571142284873e+00,4.363195625215439410e-02
2.297194388777555218e+00,4.324421678169282357e-02
2.301603206412825564e+00,4.284914847386850356e-02
2.306012024048096354e+00,4.244044806890662214e-02
2.310420841683366699e+00,4.203443445407064466e-02
2.314829659318637489e+00,4.163125353523859651e-02
2.319238476953907835e+00,4.123103950814278884e-02
2.323647294589178625e+00,4.083391967709391890e-02
2.328056112224448970e+00,4.044001836729080313e-02
2.332464929859719316e+00,4.004944415317230472e-02
2.336873747494990106e+00,3.966229233431025486e-02
2.341282565130260451e+00,3.927865708389175620e-02
2.345691382765531241e+00,3.889862223820326342e-02
2.350100200400801587e+00,3.852226582665824878e-02
2.354509018036072376e+00,3.814965979334715429e-02
2.358917835671342722e+00,3.778086651880735447e-02
2.363326653306613512e+00,3.741594287446375899e-02
2.367735470941883857e+00,3.705494109767764471e-02
2.372144288577154203e+00,3.669791270935356120e-02
2.376553106212424993e+00,3.634489080520103554e-02
2.380961923847695338e+00,3.599590713777109374e-02
2.385370741482966128e+00,3.565098871463948105e-02
2.389779559118236474e+00,3.531015695939161009e-02
2.394188376753507264e+00,3.497343206390343684e-02
2.398597194388777609e+00,3.464082695750668461e-02
2.403006012024048399e+00,3.429735987108971373e-02
2.407414829659318745e+00,3.395145915635616740e-02
2.411823647294589090e+00,3.361019142661398479e-02
2.416232464929859880e+00,3.327355023889474323e-02
2.420641282565130226e+00,3.294151191441126170e-02
2.425050100200401015e+00,3.261405600608573152e-02
2.429458917835671361e+00,3.229115688205782403e-02
2.433867735470942151e+00,3.197279116741491567e-02
2.438276553106212496e+00,3.165893113773757261e-02
2.442685370741483286e+00,3.134954409913053019e-02
2.447094188376753632e+00,3.104459851281952953e-02
2.451503006012023977e+00,3.074406068824771243e-02
2.455911823647294767e+00,3.044789452922948628e-02
2.460320641282565113e+00,3.015606730052300399e-02
2.464729458917835903e+00,2.986853300622884996e-02
2.469138276553106248e+00,2.958524953795575729e-02
2.473547094188377038e+00,2.930617293333026563e-02
2.477955911823647384e+00,2.903126186250458082e-02
2.482364729458917729e+00,2.876047147187263398e-02
2.486773547094188519e+00,2.849375318497632953e-02
2.491182364729458865e+00,2.823106362037192466e-02
2.495591182364729654e+00,2.797235556905010301e-02
2.500000000000000000e+00,2.771758269607799488e-02
