"wl","n","k"
1.78,1.92485576,0.010218744
1.785,1.924792687,0.010217382
1.79,1.924729615,0.01021602
1.795,1.924666542,0.010214658
1.8,1.924603469,0.010213296
1.805,1.924540397,0.010211934
1.81,1.924477324,0.010210572
1.815,1.924414251,0.01020921
1.82,1.924351179,0.010207848
1.825,1.924288106,0.010206486
1.83,1.924225034,0.010205124
1.835,1.924161961,0.010203762
1.84,1.924098888,0.0102024
1.845,1.924035816,0.010201038
1.85,1.923972743,0.010199676
1.855,1.92390967,0.010198314
1.86,1.923846598,0.010196952
1.865,1.923783525,0.01019559
1.87,1.923718191,0.010194228
1.875,1.923638828,0.01017035
1.88,1.923559465,0.010134532
1.885,1.923480102,0.010098714
1.89,1.92340074,0.010062896
1.895,1.923321377,0.010027079
1.9,1.923242014,0.009991261
1.905,1.923162651,0.009955443
1.91,1.923083288,0.009919625
1.915,1.923003925,0.009883807
1.92,1.922924563,0.00984799
1.925,1.9228452,0.009812172
1.93,1.922765837,0.009776354
1.935,1.922686474,0.009740536
1.94,1.922607111,0.009704718
1.945,1.922527748,0.009668901
1.95,1.922448386,0.009633083
1.955,1.922369023,0.009597265
1.96,1.92228966,0.009561447
1.965,1.922210297,0.009525629
1.97,1.922130934,0.009489812
1.975,1.922051571,0.009453994
1.98,1.921972209,0.009418176
1.985,1.921892846,0.009382358
1.99,1.921813483,0.00934654
1.995,1.92173412,0.009310722
2.,1.921654757,0.009274905
2.005,1.921575394,0.009239087
2.01,1.921496032,0.009203269
2.015,1.921416669,0.009167451
2.02,1.921337306,0.009131633
2.025,1.921257943,0.009095816
2.03,1.92117858,0.009059998
2.035,1.921099217,0.00902418
2.04,1.921019855,0.008988362
2.045,1.920940492,0.008952544
2.05,1.920861129,0.008916727
2.055,1.920781766,0.008880909
2.06,1.920702403,0.008845091
2.065,1.92062304,0.008809273
2.07,1.920543678,0.008773455
2.075,1.920464315,0.008737638
2.08,1.920384952,0.00870182
2.085,1.920305589,0.008666002
2.09,1.920242062,0.008630184
2.095,1.920210273,0.00860347
2.1,1.920178484,0.008580319
2.105,1.920146696,0.008557168
2.11,1.920114907,0.008534017
2.115,1.920083118,0.008510865
2.12,1.920051329,0.008487714
2.125,1.92001954,0.008464563
2.13,1.919987751,0.008441412
2.135,1.919955962,0.008418261
2.14,1.919924173,0.00839511
2.145,1.919892384,0.008371958
2.15,1.919860595,0.008348807
2.155,1.919828806,0.008325656
2.16,1.919797017,0.008302505
2.165,1.919765229,0.008279354
2.17,1.91973344,0.008256202
2.175,1.919701651,0.008233051
2.18,1.919669862,0.0082099
2.185,1.919638073,0.008186749
2.19,1.919606284,0.008163598
2.195,1.919574495,0.008140447
2.2,1.919542706,0.008117295
2.205,1.919510917,0.008094144
2.21,1.919479128,0.008070993
2.215,1.919447339,0.008047842
2.22,1.91941555,0.008024691
2.225,1.919383762,0.00800154
2.23,1.919351973,0.007978388
2.235,1.919320184,0.007955237
2.24,1.919288395,0.007932086
2.245,1.919256606,0.007908935
2.25,1.919224817,0.007885784
2.255,1.919193028,0.007862633
2.26,1.919161239,0.007839481
2.265,1.91912945,0.00781633
2.27,1.919097661,0.007793179
2.275,1.919065872,0.007770028
2.28,1.919034083,0.007746877
2.285,1.919002295,0.007723725
2.29,1.918970506,0.007700574
2.295,1.918938717,0.007677423
2.3,1.918906928,0.007654272
2.305,1.918875139,0.007631121
2.31,1.91884335,0.00760797
2.315,1.918811561,0.007584818
2.32,1.918779772,0.007561667
2.325,1.918747983,0.007538516
2.33,1.918716194,0.007515365
2.335,1.918684405,0.007492214
2.34,1.918652617,0.007469063
2.345,1.918620828,0.007445911
2.35,1.918589039,0.00742276
2.355,1.91855725,0.007399609
2.36,1.918525461,0.007376458
2.365,1.918493672,0.007353307
2.37,1.918475043,0.007332434
2.375,1.918458052,0.007332434
2.38,1.918441062,0.007332434
2.385,1.918424071,0.007332434
2.39,1.918407081,0.007332434
2.395,1.918390091,0.007332434
2.4,1.9183731,0.007332434
2.405,1.91835611,0.007332434
2.41,1.91833912,0.007332434
2.415,1.918322129,0.007332434
2.42,1.918305139,0.007332434
2.425,1.918288148,0.007332434
2.43,1.918271158,0.007332434
2.435,1.918254168,0.007332434
2.44,1.918237177,0.007332434
2.445,1.918220187,0.007332434
2.45,1.918203197,0.007332434
2.455,1.918186206,0.007332434
2.46,1.918169216,0.007332434
2.465,1.918152225,0.007332434
2.47,1.918135235,0.007332434
2.475,1.918118245,0.007332434
2.48,1.918101254,0.007332434
2.485,1.918084264,0.007332434
2.49,1.918067274,0.007332434
2.495,1.918050283,0.007332434
2.5,1.918033293,0.007332434
